StateName,State,rank0,rank17,Under 1 Year,1 Year,2 Years,3 Years,4 Years,5 Years,6 Years,7 Years,8 Years,9 Years,10 Years,11 Years,12 Years,13 Years,14 Years,15 Years,16 Years,17 Years
Alabama,Alabama,8,28,18.9,7.3,6.5,5.6,4.8,5.8,4.7,4.7,4.2,3.7,2.9,3.6,4,5,4.1,5.5,4.6,3.8
Alaska,Alaska,14,47,18,8.1,7.7,9.8,8.8,7,4.8,5.1,4.8,3.3,3.8,4.3,2.9,3.6,2.2,2.6,1.6,1.6
Arizona,Arizona,19,27,17.2,7.3,6.6,6.6,6.5,5.6,5.7,4.5,4.3,3.8,3.4,3.4,3.3,4,4,5,4.7,4
Arkansas,Arkansas,24,32,15.6,7.7,7.8,6.4,6.7,5.4,5.7,5.4,4.5,3.8,4.5,4,3.8,3.5,3.6,4.5,4,3.1
California,California,17,17,17.4,7.3,6.5,5.8,5.7,5.3,5,3.9,3.9,3.5,3.4,3.3,3.3,4.1,4.5,5.5,6.3,4.9
Colorado,Colorado,44,5,12.8,5.7,6,5.2,5,4.3,3.6,3.7,3.9,3,3.1,2.8,3.1,4.6,5.5,8.3,9.2,8.6
Connecticut,Connecticut,2,19,22.9,6.6,6.3,4.4,5.2,4.2,2.7,2.6,2.6,2.3,3.1,2.8,2.8,4.8,6.3,7.8,7.8,4.7
Delaware,Delaware,9,6,18.8,7.2,7.2,4.8,2.9,5.2,3.3,3.3,3.7,2.7,2.7,3.1,2.7,4.8,5.2,7.2,6.6,8.5
District of Columbia,District of Columbia,45,36,12,6.2,6.2,8.2,5.6,6.6,6.4,6.2,5.6,3.9,3.7,4.7,3.9,3.9,3.5,4.9,5.4,2.9
Florida,Florida,15,38,17.8,8.2,7.9,7,6.8,6.6,5.4,4.6,4.7,4,3.4,3.6,3.4,3.5,3.4,3.7,3.6,2.5
Georgia,Georgia,22,35,16.3,7.2,6.3,6.7,5.9,5.1,5.3,4.9,4,3.6,3.9,3.2,3.9,4.4,5,5.6,5.5,3
Hawaii,Hawaii,27,24,14.8,5.3,5.6,6.9,5.2,7.7,4.9,4.8,4.1,3.9,3.6,3.9,4.2,6.2,4.6,4.6,5.6,4.2
Idaho,Idaho,42,30,13.1,8.3,6.9,8.1,6.7,5.8,4.6,4.3,5.5,3.3,3.4,3.7,3.5,4.2,5.3,4.4,5.2,3.5
