"State","Year","age0to4","age5to9","age10to14","age15to17","age5to13","age14to17","age0to17"
"Alabama","2010",305027,307288,320123,198528,564067,261872,1130966
"Alabama","2011",303611,305079,321392,195681,562898,259254,1125763
"Alabama","2012",300551,305925,319776,191237,561314,255624,1117489
"Alabama","2013",297104,307542,316370,190465,559974,254403,1111481
"Alaska","2010",54288,51068,50928,31618,91872,41742,187902
"Alaska","2011",55145,51310,50793,31081,92097,41087,188329
"Alaska","2012",55232,51807,50670,30453,92517,40413,188162
"Alaska","2013",55392,52060,50426,30254,92456,40284,188132
"Arizona","2010",455010,453317,449507,270729,814119,359434,1628563
"Arizona","2011",445358,450572,451475,268948,813045,357950,1616353
"Arizona","2012",438214,456705,453260,268970,820343,358592,1617149
"Arizona","2013",431758,460109,455698,269249,825370,359686,1616814
"Arkansas","2010",197333,196920,198019,119675,355988,158626,711947
"Arkansas","2011",196103,197458,199440,117575,357358,157115,710576
"Arkansas","2012",194544,199510,198911,117506,358638,157289,710471
"Arkansas","2013",192916,199901,198507,118542,358653,158297,709866
"California","2010",2532937,2505062,2584243,1661852,4558357,2192800,9284094
"California","2011",2536884,2514873,2563560,1637019,4556232,2159220,9252336
"California","2012",2520627,2542848,2539284,1606248,4567915,2120465,9209007
"California","2013",2507536,2562180,2528375,1576786,4580696,2086645,9174877
"Colorado","2010",343585,348885,333895,200254,617421,265613,1226619
"Colorado","2011",341007,351147,338980,199044,624358,264813,1230178
"Colorado","2012",337601,353926,342964,198373,630432,264831,1232864
"Colorado","2013",335136,355483,348251,199062,635868,266928,1237932
"Connecticut","2010",201027,221840,239628,151692,412762,200398,814187
"Connecticut","2011",197747,219721,238007,149634,408853,198509,805109
"Connecticut","2012",194452,217901,234885,147721,404792,195715,794959
"Connecticut","2013",191937,215094,232242,146293,399222,194407,785566
"Delaware","2010",55852,56421,56870,36335,101963,47663,205478
"Delaware","2011",55897,56355,57134,35415,102284,46620,204801
"Delaware","2012",56094,56873,57054,34565,102489,46003,204586
"Delaware","2013",56319,56877,57048,33314,102460,44779,203558
"District of Columbia","2010",33365,26150,24925,16869,46004,21940,101309
"District of Columbia","2011",36197,26718,24797,16194,46533,21176,103906
